Tibetan Name (Original),File Number,English Name,Status, Section ,,,
????? ?????????????????????,4|315,Miao STS,Inactive, Dekyiling Branch ,,,
????? ???????????????????????,4|316,Tezu STS School,Inactive, Dekyiling Branch ,,,
????? ????????????????????????,4|325,Tawang BRDL,Inactive, Dekyiling Branch ,,,
????? ????????????????????????????,4|342,Sonada STS School,Inactive, Dekyiling Branch ,,,
???? ?????????????????????????????,4|81,Ladakh Settlement Office,Inactive, Dekyiling Branch ,,,
????? ??????????????????????????????????????????,4|108,Ladakh Sonamling Tibetan Refugee Service Co-operative Society Ltd,Inactive, Dekyiling Branch ,,,
????? ???????????????????????????,4|123,Ladakh Primary Health Center,Inactive, Dekyiling Branch ,,,
????? ?????????????????????????,4|197,Ladakh TCV School,Inactive, Dekyiling Branch ,,,
????? ?????????????????????,4|204,Ladakh Leh BRDL,Inactive, Dekyiling Branch ,,,
????? ?????????????????????,4|278,Ladakh Jangthang BRDL,Inactive, Dekyiling Branch ,,,
????? ????????????????????????????????????,4|279,Ladakh Mentse Khang,Inactive, Dekyiling Branch ,,,
???? ?????????????????????????????,4|33,Mundgod Duguling Primary Health Center,Inactive, South Branch ,,,
???? ???????????????????????,4|34,Hunsur Tibetan Phende Hospital Association,Inactive, South Branch ,,,
???? ???????????????????????????,4|35,Kollegal Dondenling Primary Health Center,Inactive, South Branch ,,,
???? ?????????????????????????????????,4|37,Bylakuppe Tso-Jhe Khangsar Charity Hospital Society,Inactive, South Branch ,,,
???? ?????????????????????????????????????,4|71,Bylakuppe Lugsam Dairy Cooperative,Inactive, South Branch ,,,
???? ??????????????????????????????????????????????,4|72,Bylakuppe Dickey Larsoe Dairy Cooperative,Inactive, South Branch ,,,
???? ???????????????????????????????????,4|73,Hunsur Tibetan Rabgayling Primary Agricultural Credit Co-operative Society Ltd,Inactive, South Branch ,,,
???? ??????????????????????????????????,4|74,Kollegal Dhondenling Primary Agricultural Co-operative Society Ltd,Inactive, South Branch ,,,
???? ????????????????????????????????????????,4|83,Mundgod Doeguling Primary Agriculture Co-operative Society Ltd,Inactive, South Branch ,,,
???? ???????????????????????????????????????????,4|84,Mundgod Doeguling Settlement Office,Inactive, South Branch ,,,
???? ?????????????????????????,4|85,Bangalore South Zone Chief Representative Office,Inactive, South Branch ,,,
????? ???????????????????????????????????????,4|118,Bylakuppe Dickey Larsoe Settlement Office,Inactive, South Branch ,,,
????? ???????????????????????????????????????????,4|121,Hunsur Rabgayling Settlement Office,Inactive, South Branch ,,,
